title,console,publisher,developer,total_sale,na_sale,pal_sale,japan_sale,other_sale,release_date
Street Fighter Alpha 3    ,PS,Capcom  ,Capcom  ,1.03m,0.38m,0.12m,0.51m,0.02m,30th Apr 99  
Dragon Ball Z: Budokai Tenkaichi 3    ,Wii,Atari  ,Spike / Bandai Namco Games  ,1.03m,0.32m,0.36m,0.26m,0.08m,03rd Dec 07  
Naruto: Clash of Ninja Revolution    ,Wii,Tomy Corporation  ,8ting/Raizing  ,1.02m,0.44m,0.46m,N/A,0.11m,23rd Oct 07  
Dead or Alive 2    ,PS2,Tecmo  ,Team Ninja  ,1.00m,0.30m,0.24m,0.38m,0.08m,30th Mar 00  
UFC Undisputed 3    ,X360,THQ  ,Yukie's Osaka  ,1.00m,0.72m,0.20m,0.00m,0.08m,14th Feb 12  
SoulCalibur II    ,XB,Namco  ,Namco  ,1.00m,0.78m,0.18m,0.03m,0.00m,27th Aug 03  
PlayStation All-Stars Battle Royale    ,PS3,Sony Computer Entertainment  ,SuperBot Entertainment  ,0.99m,0.50m,0.28m,0.04m,0.16m,20th Nov 12  
WWE 2K19    ,PS4,2K Sports  ,Visual Concepts  ,0.98m,0.36m,0.46m,N/A,0.16m,09th Oct 18  
WWE SmackDown vs Raw 2008    ,Wii,THQ  ,Yuke's Media Creations  ,0.98m,0.38m,0.50m,N/A,0.11m,13th Nov 07  
Injustice: Gods Among Us Ultimate Edition    ,PS4,Warner Bros. Interactive Entertainment  ,NetherRealm Studios  ,0.98m,0.46m,0.35m,N/A,0.17m,15th Nov 13  
Naruto Shippuden: Ultimate Ninja Storm 3    ,PS3,Namco Bandai Games  ,CyberConnect2  ,0.97m,0.32m,0.36m,0.15m,0.13m,05th Mar 13  
Mortal Kombat Trilogy    ,N64,Midway Games  ,Point of View Inc.  ,0.96m,0.72m,0.22m,N/A,0.02m,31st Oct 96  
Mortal Kombat: Deadly Alliance    ,XB,Midway Games  ,Midway  ,0.96m,0.77m,0.15m,N/A,0.04m,20th Nov 02  
WWE SmackDown vs. Raw 2009    ,PS3,THQ  ,Yuke's Media Creations  ,0.94m,0.51m,0.30m,0.01m,0.12m,09th Nov 08  
Knockout Kings 2000    ,N64,EA Sports  ,Black Ops Entertainment  ,0.92m,0.63m,0.27m,N/A,0.02m,03rd Oct 99  
WWE SmackDown vs. Raw 2009    ,X360,THQ  ,Yuke's Media Creations  ,0.92m,0.58m,0.26m,N/A,0.08m,09th Nov 08  
Tobal No.1    ,PS,Sony Computer Entertainment  ,DreamFactory  ,0.92m,0.12m,0.08m,0.66m,0.06m,30th Sep 96  
Injustice 2    ,XOne,Warner Bros. Interactive Entertainment  ,NetherRealm Studios  ,0.89m,0.65m,0.16m,N/A,0.09m,16th May 17  
