title,console,publisher,developer,total_sale,na_sale,pal_sale,japan_sale,other_sale,release_date
Terraria    ,PSV,505 Games  ,Engine Software  ,0.10m,N/A,0.01m,0.09m,0.00m,04th Dec 13  
Starlink: Battle for Atlas    ,PS4,Ubisoft  ,Ubisoft Toronto  ,0.10m,0.08m,N/A,N/A,0.02m,16th Oct 18  
Starlink: Battle for Atlas    ,XOne,Ubisoft  ,Ubisoft Toronto  ,0.10m,0.09m,N/A,N/A,0.01m,16th Oct 18  
Murdered: Soul Suspect    ,X360,Square Enix  ,Airtight Games  ,0.10m,0.06m,0.03m,N/A,0.01m,03rd Jun 14  
SpongeBob: HeroPants    ,X360,Activision  ,Behaviour Interactive  ,0.10m,0.09m,0.00m,N/A,0.01m,03rd Feb 15  
Resident Evil 4    ,PS4,Capcom  ,Capcom  ,0.10m,0.07m,N/A,0.01m,0.02m,30th Aug 16  
Resident Evil: Origins Collection    ,XOne,Capcom  ,Capcom  ,0.10m,0.07m,0.02m,N/A,0.01m,19th Jan 16  
We Happy Few    ,XOne,Gearbox Software  ,Compulsion Games  ,0.09m,0.07m,0.01m,N/A,0.01m,10th Aug 18  
Castlevania: Lords of Shadow 2    ,X360,Konami Digital Entertainment  ,Mercury Steam  ,0.09m,0.02m,0.06m,N/A,0.01m,25th Feb 14  
Invizimals: The Alliance    ,PSV,Sony Computer Entertainment  ,Novarama  ,0.09m,0.00m,0.07m,N/A,0.02m,30th Sep 14  
The Amazing Spider-Man (2012)    ,WiiU,Activision  ,Beenox  ,0.09m,0.05m,0.04m,N/A,0.01m,05th Mar 13  
How to Train Your Dragon 2    ,WiiU,Little Orbit  ,Torus Games  ,0.08m,0.03m,0.05m,N/A,0.01m,10th Jun 14  
