title,console,publisher,developer,total_sale,na_sale,pal_sale,japan_sale,other_sale,release_date
Ace Combat 3: Electrosphere    ,PS,Namco  ,Namco  ,0.83m,0.22m,0.15m,0.40m,0.05m,02nd Mar 00  
Style Savvy: Fashion Forward    ,3DS,Nintendo  ,syn Sophia  ,0.83m,0.08m,0.67m,0.03m,0.05m,19th Aug 16  
Harvest Moon: Tree of Tranquility    ,Wii,Natsume  ,Runtime  ,0.82m,0.67m,0.03m,0.06m,0.05m,30th Sep 08  
Imagine: Rock Star    ,DS,Ubisoft  ,Gevo Entertainment  ,0.81m,0.40m,0.33m,N/A,0.09m,17th Jun 08  
The Sims 2    ,PS2,Electronic Arts  ,Maxis  ,0.81m,0.67m,0.03m,N/A,0.11m,24th Oct 05  
Star Wars Rogue Squadron III: Rebel Strike    ,GC,LucasArts  ,Factor 5  ,0.80m,0.62m,0.16m,N/A,0.02m,15th Oct 03  
The Sims 2: Pets    ,PSP,Electronic Arts  ,Maxis  ,0.80m,0.19m,0.39m,N/A,0.22m,14th Dec 06  
The Sims 2: Castaway    ,PSP,Electronic Arts  ,Maxis  ,0.79m,0.08m,0.46m,N/A,0.25m,22nd Oct 07  
Momotarou Dentetsu 7    ,PS,Hudson Entertainment  ,Hudson Soft  ,0.79m,N/A,N/A,0.74m,0.05m,23rd Dec 97  
Dance Dance Revolution SuperNOVA 2    ,PS2,Konami  ,Konami Computer Entertainment Tokyo  ,0.79m,0.64m,0.03m,0.02m,0.10m,25th Sep 07  
Armored Core 2    ,PS2,Agetec  ,From Software  ,0.79m,0.28m,0.22m,0.23m,0.07m,24th Oct 00  
The Sims 3    ,3DS,Electronic Arts  ,The Sims Studio  ,0.77m,0.30m,0.38m,0.03m,0.07m,27th Mar 11  
My Baby Girl    ,DS,SouthPeak Interactive  ,Dancing Dots  ,0.76m,0.61m,0.09m,N/A,0.06m,04th Nov 08  
Zone of the Enders    ,PS2,Konami  ,Konami Computer Entertainment Japan  ,0.75m,0.30m,0.24m,0.13m,0.08m,26th Mar 01  
Style Savvy: Trendsetters    ,3DS,Nintendo  ,syn Sophia  ,0.75m,0.16m,0.03m,0.54m,0.02m,22nd Oct 12  
Harvest Moon: Animal Parade     ,Wii,Natsume  ,Marvelous Interactive  ,0.74m,0.58m,0.08m,0.02m,0.05m,10th Nov 09  
The Sims 4    ,XOne,Electronic Arts  ,Maxis  ,0.73m,0.42m,0.24m,N/A,0.07m,17th Nov 17  
Harvest Moon DS: Island of Happiness    ,DS,Natsume  ,Marvelous Interactive  ,0.72m,0.43m,0.01m,0.25m,0.04m,26th Aug 08  
Imagine: Interior Designer    ,DS,Ubisoft  ,Little Worlds Studio / Anuman Interactive  ,0.72m,0.34m,0.31m,N/A,0.08m,04th Nov 08  
Mobile Suit Gundam: Encounters in Space    ,PS2,Bandai  ,Bandai  ,0.72m,0.05m,0.04m,0.61m,0.01m,05th Dec 03  
The Sims 2: Castaway    ,DS,Electronic Arts  ,Maxis  ,0.72m,0.62m,0.04m,N/A,0.05m,22nd Oct 07  
Mobile Suit Gundam: Journey to Jaburo    ,PS2,Bandai  ,Bandai  ,0.70m,0.16m,0.13m,0.36m,0.04m,06th Aug 01  
The Sims: Medieval    ,PC,Electronic Arts  ,The Sims Studio  ,0.70m,0.29m,0.32m,N/A,0.09m,22nd Mar 11  
World of Zoo    ,DS,THQ  ,Blue Fang Games  ,0.69m,0.43m,0.20m,N/A,0.07m,26th Oct 09  
The Sims 2: Apartment Pets    ,DS,Electronic Arts  ,The Sims Studio  ,0.69m,0.31m,0.30m,N/A,0.07m,26th Aug 08  
IL-2 Sturmovik: Birds of Prey    ,PS3,505 Games  ,Gaijin Entertainment  ,0.69m,0.34m,0.25m,N/A,0.10m,08th Sep 09  
Lalaloopsy    ,DS,Activision  ,Activision  ,0.68m,0.51m,0.10m,N/A,0.07m,06th Nov 11  
Armored Core 3    ,PS2,Agetec  ,From Software  ,0.67m,0.22m,0.17m,0.23m,0.06m,05th Sep 02  
The Sims 3    ,DS,Electronic Arts  ,The Sims Studio  ,0.67m,0.38m,0.23m,N/A,0.06m,26th Oct 10  
Blazing Angels: Squadrons of WWII    ,PS3,Ubisoft  ,Ubisoft Romania  ,0.67m,0.35m,0.22m,N/A,0.10m,12th Dec 06  
The Sims 3: High-End Loft Stuff    ,PC,Electronic Arts  ,EA Redwood Shores  ,0.66m,0.01m,0.54m,N/A,0.11m,02nd Feb 10  
The Sims: Bustin' Out    ,GC,Electronic Arts  ,Maxis  ,0.66m,0.43m,0.20m,N/A,0.03m,15th Dec 03  
Crafting Mama    ,DS,Majesco  ,Cooking Mama Limited  ,0.65m,0.39m,0.20m,0.01m,0.05m,26th Oct 10  
Paws & Claws: Pet Vet    ,DS,THQ  ,ValuSoft  ,0.64m,0.59m,N/A,N/A,0.05m,03rd Jan 07  
The Sims 3: Generations    ,PC,Electronic Arts  ,The Sims Studio  ,0.63m,0.40m,0.23m,N/A,N/A,31st May 11  
Dogz    ,GBA,Ubisoft  ,MTO  ,0.63m,0.45m,0.17m,N/A,0.01m,17th Nov 05  
Cooking Mama 4: Kitchen Magic!    ,3DS,Majesco  ,Cooking Mama Ltd.  ,0.63m,0.50m,0.07m,N/A,0.06m,15th Nov 11  
The Urbz: Sims in the City    ,GBA,Electronic Arts  ,Griptonite Games  ,0.62m,0.37m,0.22m,N/A,0.03m,09th Nov 04  
World of Zoo    ,Wii,THQ  ,Blue Fang Games  ,0.61m,0.40m,0.15m,N/A,0.05m,26th Oct 09  
Petz: Dogz Pack    ,DS,Ubisoft  ,Ubisoft  ,0.61m,0.56m,N/A,N/A,0.05m,04th Nov 08  
Littlest Pet Shop: Garden    ,DS,Electronic Arts  ,EA Salt Lake  ,0.60m,0.31m,0.23m,N/A,0.06m,14th Oct 08  
BeatMania Append 3rdMix    ,PS,Konami  ,Konami  ,0.60m,N/A,N/A,0.56m,0.04m,23rd Dec 98  
SimCity DS    ,DS,Electronic Arts  ,Aki Corporation  ,0.60m,0.33m,0.03m,0.21m,0.03m,19th Jun 07  
Littlest Pet Shop: Jungle    ,DS,Electronic Arts  ,EA Salt Lake  ,0.60m,0.34m,0.20m,N/A,0.06m,14th Oct 08  
Harvest Moon: Friends of Mineral Town    ,GBA,Natsume  ,TOSE Software  ,0.59m,0.34m,0.13m,0.11m,0.01m,17th Nov 03  
Tokimeki Memorial: Forever with You    ,PS,Konami  ,Konami  ,0.58m,N/A,N/A,0.55m,0.04m,13th Oct 95  
Farming Simulator 19    ,PC,Focus Home Interactive  ,Giants Software  ,0.58m,N/A,0.55m,N/A,0.03m,20th Nov 18  
Disney Magic World 2    ,3DS,Nintendo  ,High Horse Entertainment  ,0.58m,0.07m,0.25m,0.23m,0.02m,14th Oct 16  
Petz Dogz 2    ,Wii,Ubisoft  ,Yuke's Media Creations  ,0.57m,0.52m,0.01m,N/A,0.04m,14th Nov 07  
