title,console,publisher,developer,total_sale,na_sale,pal_sale,japan_sale,other_sale,release_date
Duel Masters    ,PS2,Atari  ,High Voltage Software  ,0.27m,0.13m,0.10m,N/A,0.03m,02nd Nov 04  
Battle of Giants: Mutant Insects    ,DS,Ubisoft  ,Ubisoft Quebec  ,0.27m,0.09m,0.15m,N/A,0.03m,02nd Mar 10  
Total War: Attila    ,PC,Sega  ,Creative Assembly  ,0.26m,0.11m,0.14m,N/A,0.02m,17th Feb 15  
Tropico 4    ,PC,Kalypso  ,Haemimont Games  ,0.26m,0.10m,0.13m,N/A,0.03m,30th Aug 11  
R.U.S.E.    ,PC,Ubisoft  ,Eugen Systems  ,0.26m,0.04m,0.19m,N/A,0.03m,07th Sep 10  
Battlestations: Midway    ,X360,Eidos Interactive  ,Eidos Hungary  ,0.26m,0.21m,0.02m,0.00m,0.02m,30th Jan 07  
SD Gundam G Generation: Cross Drive    ,DS,Namco Bandai  ,Vanguard  ,0.26m,N/A,N/A,0.26m,N/A,09th Aug 07  
RollerCoaster Tycoon 3    ,PC,Atari  ,Frontier Developments  ,0.26m,0.01m,0.22m,N/A,0.02m,26th Oct 04  
Fire Emblem: Thracia 776    ,SNES,Nintendo  ,Intelligent Systems  ,0.26m,N/A,N/A,0.26m,N/A,01st Sep 99  
Super Robot Taisen R    ,GBA,Banpresto  ,Banpresto  ,0.26m,N/A,N/A,0.25m,0.01m,02nd Aug 02  
Romance of the Three Kingdoms II    ,SNES,KOEI  ,Koei  ,0.25m,N/A,N/A,0.25m,N/A,01st May 92  
A. IV Evolution: A Ressha de Ikou 4    ,PS,ArtDink  ,ArtDink  ,0.25m,N/A,N/A,0.24m,0.02m,03rd Dec 94  
Sid Meier's Civilization VI    ,NS,2K Games  ,Firaxis Games  ,0.25m,0.12m,0.11m,0.01m,0.02m,16th Nov 18  
Zoo Tycoon 2: Ultimate Collection    ,PC,Microsoft Game Studios  ,Blue Fang Games  ,0.25m,0.04m,0.19m,N/A,0.03m,05th Dec 08  
Dune 2000    ,PS,Electronic Arts  ,Westwood Studios  ,0.25m,0.14m,0.09m,N/A,0.02m,11th Feb 00  
Panzer General    ,PS,SSI  ,"Strategic Simulations, Inc.  ",0.24m,0.14m,0.09m,N/A,0.02m,01st Jan 96  
Command & Conquer 3: Kane's Wrath    ,X360,Electronic Arts  ,EA Los Angeles  ,0.24m,0.16m,0.06m,N/A,0.02m,23rd Jun 08  
Super Robot Taisen D    ,GBA,Banpresto  ,Banpresto  ,0.23m,N/A,N/A,0.23m,0.01m,08th Aug 03  
Anno 2205    ,PC,Ubisoft  ,Blue Byte  ,0.23m,0.04m,0.17m,N/A,0.02m,03rd Nov 15  
Super Robot Taisen F Kanketsuhen    ,PS,Banpresto  ,Banpresto  ,0.23m,N/A,N/A,0.21m,0.01m,15th Apr 99  
Yu-Gi-Oh! GX: Tag Force 3    ,PSP,Konami  ,Konami  ,0.23m,N/A,0.03m,0.18m,0.01m,28th Nov 08  
Code Name: S.T.E.A.M.    ,3DS,Nintendo  ,Intelligent Systems  ,0.22m,0.14m,0.05m,0.02m,0.02m,13th Mar 15  
