title,console,publisher,developer,critic_score,user_score,total_sale,na_sale,pal_sale,japan_sale,other_sale,release_date
Blacksite: Area 51    ,PC,Midway Games  ,Midway Studios Austin  ,N/A  ,N/A  ,0.00m,N/A,0.00m,N/A,0.00m,12th Nov 07  
WinBack 2: Project Poseidon    ,XB,KOEI  ,Cavia Inc.  ,N/A  ,N/A  ,0.00m,0.00m,0.00m,N/A,0.00m,25th Apr 06  
Rogue Warrior    ,PC,Bethesda Softworks  ,Rebellion Developments  ,N/A  ,N/A  ,0.00m,N/A,0.00m,N/A,0.00m,01st Dec 09  
Game Tengoku: CruisinMix    ,PS4,Chara-ani  ,Chara-ani  ,N/A  ,N/A  ,0.00m,N/A,N/A,0.00m,N/A,30th Nov 17  
Hitman: Contracts    ,PC,Eidos Interactive  ,IO Interactive  ,N/A  ,N/A  ,0.00m,N/A,0.00m,N/A,0.00m,20th Apr 04  
Sniper Elite V2    ,PC,Rebellion Developments  ,Rebellion Developments  ,6.0  ,N/A  ,0.00m,N/A,0.00m,N/A,0.00m,30th Apr 12  
Star Wars Jedi Knight II: Jedi Outcast    ,PC,LucasArts  ,Raven Software  ,9.0  ,N/A  ,0.00m,N/A,0.00m,N/A,0.00m,26th Mar 02  
Wii de Asobu: Metroid Prime 2: Dark Echoes    ,Wii,Unknown  ,Retro Studios  ,N/A  ,N/A  ,0.00m,N/A,N/A,0.00m,N/A,N/A  
Medal of Honor Allied Assault: War Chest    ,PC,Electronic Arts  ,Electronic Arts  ,N/A  ,N/A  ,0.00m,N/A,0.00m,N/A,0.00m,02nd Mar 04  
Classified: The Sentinel Crisis    ,XB,Global Star Software  ,Torus Games  ,N/A  ,N/A  ,0.00m,0.00m,0.00m,N/A,0.00m,14th Apr 06  
Return to Castle Wolfenstein    ,PC,Activision  ,Gray Matter Studios  ,N/A  ,N/A  ,0.00m,N/A,0.00m,N/A,0.00m,20th Nov 01  
Enemy Front    ,PC,City Interactive  ,City Interactive  ,N/A  ,N/A  ,0.00m,N/A,0.00m,N/A,0.00m,10th Jun 14  
Medal of Honor: Allied Assault    ,PC,Electronic Arts  ,"2015, Inc.  ",9.3  ,N/A  ,0.00m,N/A,0.00m,N/A,0.00m,20th Jan 02  
Medal of Honor: Pacific Assault    ,PC,Electronic Arts  ,Dreamworks Games  ,N/A  ,N/A  ,0.00m,N/A,0.00m,N/A,0.00m,04th Nov 04  
Mercenaries 2: World in Flames    ,PC,Electronic Arts  ,Pandemic Studios  ,6.0  ,N/A  ,0.00m,N/A,0.00m,N/A,0.00m,03rd Sep 08  
Shooter: Space Shot    ,PS,Agetec  ,C.I.I.  ,N/A  ,N/A  ,0.00m,0.00m,0.00m,N/A,0.00m,01st Jan 01  
