title,platform,total_sale,na_sale,pal_sale,japan_sale,other_sale
RC Revenge Pro,PlayStation 2,0.17,0.08,0.06,NA,0.02
Journey,PSN,0.17,0.04,0.11,NA,0.01
Chaotic: Shadow Warriors,PlayStation 3,0.17,0.15,NA,NA,0.02
Dementium: The Ward,DS,0.17,0.15,0.01,NA,0.01
Backyard Wrestling: Don't Try This at Home,Xbox,0.17,0.13,0.04,NA,0.01
Gauntlet: Dark Legacy,Xbox,0.17,0.13,0.04,NA,0.01
Far East of Eden II: Manji Maru,PlayStation 2,0.17,NA,NA,0.17,NA
Lost Kingdoms,GameCube,0.17,0.10,0.02,0.04,0.00
Naval Assault: The Killing Tide,Xbox 360,0.17,0.08,0.07,NA,0.02
I'm A Celebrity: Get Me Out of Here!,Wii,0.17,NA,0.16,NA,0.01
F1 2018,Xbox One,0.17,0.05,0.10,NA,0.01
NCAA Basketball 09,PlayStation 3,0.17,0.15,NA,NA,0.01
Matchbox Cross Town Heroes,GBA,0.17,0.12,0.04,NA,0.00
Age of Empires III: Complete Collection,PC,0.17,0.01,0.13,NA,0.03
Wolfenstein 3D,GBA,0.17,0.12,0.04,NA,0.00
Nobunaga no Yabou: Tenshoki,SNES,0.17,NA,NA,0.17,0.00
Angry Birds Trilogy,PlayStation 3,0.17,0.12,0.02,NA,0.03
Learning to Spell,DS,0.17,0.16,NA,NA,0.01
Pac-Man World 3,DS,0.17,0.15,0.00,NA,0.01
Shawn Johnson Gymnastics,Wii,0.17,0.16,NA,NA,0.01
NASCAR '14,Xbox 360,0.17,0.15,NA,NA,0.02
Super Power League,SNES,0.17,NA,NA,0.17,NA
Phantasy Star Online 2,PlayStation Vita,0.17,NA,NA,0.17,NA
Street Fighter Alpha 2,SNES,0.17,NA,NA,0.17,NA
25 To Life,Xbox,0.17,0.12,0.04,NA,0.01
Murdered: Soul Suspect,Xbox One,0.17,0.08,0.07,NA,0.01
Driver: San Francisco,Wii,0.17,0.06,0.09,NA,0.02
NASCAR '15,Xbox 360,0.17,0.15,NA,NA,0.02
Sega Superstars,PlayStation 2,0.17,0.08,0.06,NA,0.02
Disney Friends,DS,0.17,0.12,0.03,NA,0.01
Zoo Keeper,DS,0.17,0.10,0.01,0.05,0.01
Midway Arcade Treasures,GameCube,0.17,0.13,0.03,NA,0.00
Leisure Suit Larry: Magna Cum Laude,Xbox,0.17,0.12,0.04,NA,0.01
Mousetrap / Operation / Simon,GBA,0.17,0.12,0.04,NA,0.00
Classic NES Series: Donkey Kong,GBA,0.17,NA,NA,0.17,NA
NBA 09: The Inside,PlayStation 2,0.17,0.08,0.06,NA,0.02
Resident Evil,SAT,0.17,NA,NA,0.17,NA
F1 2011,3DS,0.17,0.07,0.09,NA,0.01
Aliens: Infestation,DS,0.17,0.09,0.05,NA,0.02
TOEIC Test Training DS,DS,0.17,NA,NA,0.17,NA
Farming Simulator 2011,PC,0.17,NA,0.17,NA,NA
Sports Party,Switch,0.17,0.06,0.10,NA,0.01
Harvest Moon: Light of Hope,Switch,0.17,0.12,0.03,NA,0.02
Itoi Shigesato no Bass Tsuri No. 1,SNES,0.17,NA,NA,0.17,NA
Cities: Skylines,PC,0.17,NA,0.16,NA,0.01
Cubivore: Survival of the Fittest,GameCube,0.17,0.01,0.00,0.15,0.00
Doctor Lautrec and the Forgotten Knights,3DS,0.17,0.07,0.05,0.03,0.01
TransFormers Animated: The Game,DS,0.17,0.15,0.01,NA,0.01
Blood Bowl,Xbox 360,0.17,0.13,0.02,NA,0.01
FlatOut,Xbox,0.17,0.12,0.04,NA,0.01
Armor Ambush,2600,0.17,0.15,0.01,NA,0.00
Death Trap,2600,0.17,0.15,0.01,NA,0.00
Mr. Do!'s Castle,2600,0.17,0.15,0.01,NA,0.00
Sumikko Gurashi: Omise Hajimerundesu,3DS,0.17,NA,NA,0.17,NA
Easy Piano,DS,0.17,0.04,0.11,NA,0.02
Parodius,SAT,0.17,NA,NA,0.16,0.00
Chuck E. Cheese's Party Games,Wii,0.16,0.15,NA,NA,0.01
Gyakuten Saiban 3,GBA,0.16,NA,NA,0.16,NA
Taz Wanted,PlayStation 2,0.16,0.08,0.06,NA,0.02
Pac-Man Championship Edition 2 + Arcade Game Series,Xbox One,0.16,0.15,NA,NA,0.02
Hannah Montana: Rock Out the Show,PSP,0.16,0.13,0.02,NA,0.02
Ride 2,PlayStation 4,0.16,0.07,0.06,0.01,0.03
Vehicular Combat League presents Motor Mayhem,PlayStation 2,0.16,0.08,0.06,NA,0.02
PoPoLoCrois: Hajimari no Bouken,PlayStation 2,0.16,NA,NA,0.16,NA
Star Wars: Super Bombad Racing,PlayStation 2,0.16,0.08,0.06,NA,0.02
Castlevania Judgment,Wii,0.16,0.12,0.02,0.01,0.01
NBA Live 08,Wii,0.16,0.15,0.00,NA,0.01
Hamster Heroes,Wii,0.16,0.16,NA,NA,NA
Hot Wheels Velocity X,GBA,0.16,0.12,0.04,NA,0.00
Akiba's Trip: Undead & Undressed,PlayStation Vita,0.16,0.04,0.02,0.08,0.02
Alien Resurrection,PlayStation,0.16,0.09,0.06,NA,0.01
World Tour Soccer 2005,PlayStation 2,0.16,0.08,0.06,NA,0.02
Splatterhouse,PlayStation 3,0.16,0.13,0.02,NA,0.02
Leisure Suit Larry: Box Office Bust,Xbox 360,0.16,0.14,0.01,NA,0.01
Create,PlayStation 3,0.16,0.11,0.03,NA,0.02
Trivial Pursuit: Bet You Know It,Wii,0.16,0.10,0.04,NA,0.02
Dead Rising 4: Frank's Big Package,PlayStation 4,0.16,0.08,0.05,NA,0.03
Clash of the Titans: The Videogame,Xbox 360,0.16,0.08,0.06,0.00,0.02
Dungeon Siege: Throne of Agony,PSP,0.16,0.13,0.02,NA,0.02
ESPN College Hoops,PlayStation 2,0.16,0.08,0.06,NA,0.02
Theatrhythm Dragon Quest,3DS,0.16,NA,NA,0.16,NA
Family Game Night 4: The Game Show,Wii,0.16,0.12,0.03,NA,0.01
F1 Championship Season 2000,PlayStation 2,0.16,0.06,0.05,0.03,0.02
Putty Squad,PlayStation 4,0.16,0.06,0.07,NA,0.03
Bakugan Battle Brawlers: Defenders of the Core,PSP,0.16,0.09,0.04,NA,0.03
Pen 1 Grand Prix: Penguin no Mondai Special,DS,0.16,NA,NA,0.16,NA
Robotech: Battlecry,GameCube,0.16,0.13,0.03,NA,0.00
Zapper: One Wicked Cricket!,PlayStation 2,0.16,0.08,0.06,NA,0.02
Bomberman Land,PlayStation,0.16,NA,NA,0.15,0.01
Paws & Claws: Pet Resort,GBA,0.16,0.12,0.04,NA,0.00
Kya: Dark Lineage,PlayStation 2,0.16,0.08,0.06,NA,0.02
NPPL Championship Paintball 2009,PlayStation 3,0.16,0.15,0.00,NA,0.02
Curious George,GBA,0.16,0.12,0.04,NA,0.00
Lethal Skies II,PlayStation 2,0.16,0.08,0.06,NA,0.02
Guilty Gear Judgment,PSP,0.16,0.13,0.00,0.02,0.01
Puzzle Quest: Galactrix,DS,0.16,0.15,0.00,NA,0.01
NCAA Football 09 All-Play,Wii,0.16,0.15,NA,NA,0.01
Kamaitachi no Yoru × 3,PlayStation 2,0.16,NA,NA,0.16,NA
Fracture,PlayStation 3,0.16,0.11,0.04,NA,0.02
Tom and Jerry: Infurnal Escape,GBA,0.16,0.12,0.04,NA,0.00
Eiyuu Densetsu: Zero no Kiseki,PSP,0.16,NA,NA,0.16,NA
Disney's American Dragon Jake Long: Attack of the Dark Dragon,DS,0.16,0.15,NA,NA,0.01
King's Field,PlayStation,0.16,0.09,0.06,NA,0.01
Let's Ride: Sunshine Stables,GBA,0.16,0.12,0.04,NA,0.00
Monster Jam,Wii,0.16,0.15,0.00,NA,0.01
World Stadium 4,PlayStation,0.16,NA,NA,0.15,0.01
Midway Arcade Treasures 2,GameCube,0.16,0.13,0.03,NA,0.00
El Shaddai: Ascension of the Metatron,Xbox 360,0.16,0.07,0.05,0.03,0.01
Angry Birds: Star Wars,Xbox One,0.16,0.11,0.04,NA,0.02
Hot Wheels World Race,GameCube,0.16,0.13,0.03,NA,0.00
Apache: Air Assault,Xbox 360,0.16,0.12,0.03,NA,0.01
San Goku Shi Taisen DS,DS,0.16,NA,NA,0.16,NA
Kawa no Nushi Tsuri,PlayStation,0.16,NA,NA,0.15,0.01
Digimon Story: Cyber Sleuth - Hacker's Memory,PlayStation 4,0.16,0.05,0.05,0.04,0.02
Marble Saga: Kororinpa,Wii,0.16,0.09,0.05,0.00,0.01
Magic: The Gathering - Battlegrounds,Xbox,0.16,0.12,0.03,NA,0.01
N2O: Nitrous Oxide,PlayStation,0.16,0.09,0.06,NA,0.01
Spider-Man: Web of Shadows - Amazing Allies Edition,PSP,0.16,0.12,0.02,NA,0.02
Dancing with the Stars,PlayStation 2,0.16,0.08,0.06,NA,0.02
Goosebumps HorrorLand,Wii,0.16,0.15,0.00,NA,0.01
Rio,DS,0.16,0.12,0.03,NA,0.01
Otogirisou,SNES,0.16,NA,NA,0.16,NA
Battlezone,PlayStation 4,0.16,0.09,0.04,NA,0.03
SD Gundam G Generation 3D,3DS,0.16,NA,NA,0.16,NA
Crash Tag Team Racing,GameCube,0.16,0.12,0.03,NA,0.00
Zoo Hospital,Wii,0.16,0.14,0.01,NA,0.01
True Swing Golf,DS,0.16,0.11,0.00,0.04,0.01
Little Nightmares,Xbox One,0.16,0.12,0.03,NA,0.02
Beowulf: The Game,PlayStation 3,0.16,0.14,0.01,NA,0.01
Family Feud Decades,Wii,0.16,0.15,NA,NA,0.01
Thrillville: Off the Rails,Xbox 360,0.16,0.13,0.02,NA,0.01
Michael Jackson: The Experience,PSP,0.16,0.11,0.03,NA,0.03
TimeSplitters: Future Perfect,Xbox,0.16,0.12,0.03,NA,0.01
Midway Arcade Treasures 3,PlayStation 2,0.16,0.08,0.06,NA,0.02
Dr. Muto,PlayStation 2,0.16,0.08,0.06,NA,0.02
Naruto Shippuden: Ultimate Ninja Storm Legacy,PlayStation 4,0.16,0.07,0.04,0.03,0.02
Warriors Orochi 3,Xbox 360,0.16,0.09,0.03,0.03,0.01
DS Rakubiki Jiten,DS,0.16,NA,NA,0.16,NA
Fatal Frame II: Crimson Butterfly,PlayStation 2,0.16,0.08,0.06,NA,0.02
SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,PlayStation 2,0.16,0.08,0.06,NA,0.02
Berserk and the Band of the Hawk,PlayStation 4,0.16,0.07,0.02,0.05,0.02
Dewy's Adventure,Wii,0.16,0.14,0.00,0.01,0.01
Bulletstorm,PC,0.16,0.07,0.08,NA,0.02
Just Cause 3,PC,0.16,0.03,0.12,NA,0.01
Shadow Man: 2econd Coming,PlayStation 2,0.16,0.08,0.06,NA,0.02
Yu-Gi-Oh! 5D's Tag Force 6,PSP,0.16,NA,NA,0.16,NA
Dynasty Warriors 4,Xbox,0.16,0.12,0.03,NA,0.01
TimeShift,PlayStation 3,0.16,0.14,0.00,NA,0.02
Wakeboarding Unleashed Featuring Shaun Murray,PlayStation 2,0.16,0.08,0.06,NA,0.02
Rudolph the Red-Nosed Reindeer,Wii,0.16,0.15,NA,NA,0.01
The Incredibles: Rise of the Underminer,GameCube,0.16,0.12,0.03,NA,0.00
Jikkyou Powerful Pro Yakyuu 3 '97 Haru,SNES,0.16,NA,NA,0.16,0.00
Alone in the Dark: The New Nightmare,PlayStation,0.16,0.09,0.06,NA,0.01
Just Dance: Disney Party,Xbox 360,0.16,0.13,0.02,NA,0.02
The BIGS,PlayStation 3,0.16,0.15,NA,NA,0.01
The King of Fighters XII,PlayStation 3,0.16,0.11,0.01,0.03,0.01
Flushed Away,GameCube,0.16,0.12,0.03,NA,0.00
Adventure Time: Explore the Dungeon Because I Don't Know!,3DS,0.16,0.10,0.04,NA,0.01
Summon Night EX-Thesis: Yoake no Tsubasa,PlayStation 2,0.16,NA,NA,0.16,NA
Pro Yakyuu Spirits 3,PlayStation 2,0.16,NA,NA,0.16,NA
Sid Meier's Pirates!,Wii,0.16,0.13,0.02,NA,0.01
Our House,DS,0.16,0.15,NA,NA,0.01
Silent Scope 3,PlayStation 2,0.16,0.08,0.06,NA,0.02
NASCAR Heat 2002,GBA,0.16,0.12,0.04,NA,0.00
Namco Classic Fighter Collection,PlayStation 2,0.16,0.08,0.06,NA,0.02
Grease Dance,Xbox 360,0.16,0.11,0.03,NA,0.01
Tak: Mojo Mistake,DS,0.16,0.15,NA,NA,0.01
International Superstar Soccer Deluxe,SNES,0.16,NA,NA,0.16,0.00
Eragon,DS,0.16,0.13,0.02,NA,0.01
BlazBlue: Chrono Phantasma Extend,PlayStation 4,0.16,0.08,0.04,0.02,0.02
Bakugan Battle Brawlers: Defenders of the Core,Wii,0.16,0.14,0.00,NA,0.01
Intellivision Lives!,PlayStation 2,0.16,0.08,0.06,NA,0.02
World Series of Poker: Tournament of Champions 2007 Edition,Xbox 360,0.16,0.15,0.00,NA,0.01
Robots,GameCube,0.16,0.12,0.03,NA,0.00
Klonoa,Wii,0.16,0.10,0.02,0.03,0.01
Watchmen: The End is Nigh - The Complete Experience,PlayStation 3,0.16,0.08,0.06,NA,0.02
Heroes Over Europe,PlayStation 3,0.16,0.12,0.02,NA,0.02
Ready 2 Rumble Revolution,Wii,0.16,0.15,0.00,NA,0.01
SimEarth: The Living Planet,SNES,0.16,NA,NA,0.16,0.00
Culdcept SAGA,Xbox 360,0.16,0.12,NA,0.03,0.01
Sengoku Basara: Chronicle Heroes,PSP,0.16,NA,NA,0.16,NA
The Wild Thornberrys: Chimp Chase,GBA,0.16,0.11,0.04,NA,0.00
Rayman Legends,PlayStation Vita,0.16,0.01,0.12,NA,0.03
Innocent Life: A Futuristic Harvest Moon,PSP,0.16,0.08,0.03,0.03,0.02
Power Stakes,PlayStation,0.16,NA,NA,0.15,0.01
Asteroids Hyper 64,Nintendo 64,0.16,0.13,0.03,NA,0.00
Buck Bumble,Nintendo 64,0.16,0.13,0.03,NA,0.00
California Speed,Nintendo 64,0.16,0.13,0.03,NA,0.00
Destruction Derby 64,Nintendo 64,0.16,0.13,0.03,NA,0.00
Fighters Destiny,Nintendo 64,0.16,0.13,0.03,NA,0.00
Hydro Thunder,Nintendo 64,0.16,0.13,0.03,NA,0.00
Jikkyou Powerful Pro Yakyuu Basic-han 2001,Nintendo 64,0.16,NA,NA,0.12,0.04
Space Invaders,Nintendo 64,0.16,0.13,0.03,NA,0.00
Starcraft 64,Nintendo 64,0.16,0.13,0.03,NA,0.00
The Powerpuff Girls: Chemical X-Traction,Nintendo 64,0.16,0.13,0.03,NA,0.00
Tom and Jerry in Fists of Furry,Nintendo 64,0.16,0.13,0.03,NA,0.00
Wonder Project J2: Koruro no Mori no Josette,Nintendo 64,0.16,NA,NA,0.12,0.04
WRC 2: FIA World Rally Championship,PlayStation 3,0.16,NA,0.13,NA,0.03
Legends of Chima: Laval's Journey,PlayStation Vita,0.16,0.01,0.11,NA,0.04
Finding Nemo: Escape to the Big Blue,DS,0.16,0.12,0.03,NA,0.01
Around The World in 80 Days,DS,0.16,NA,0.14,NA,0.02
Minna no DS Seminar: Kanpeki Kanji Ryoku,DS,0.16,NA,NA,0.16,NA
Macross Ace Frontier,PSP,0.16,NA,NA,0.16,NA
Solitaire Overload Plus,DS,0.16,0.15,NA,NA,0.01
Black & Bruised,PlayStation 2,0.16,0.08,0.06,NA,0.02
Naruto: Ultimate Ninja Heroes 2 - The Phantom Fortress,PSP,0.16,0.14,0.00,NA,0.01
Take A Break's: Puzzle Master,DS,0.16,NA,0.15,NA,0.01
Spyro: Shadow Legacy,DS,0.16,0.14,0.01,NA,0.01
Blitz: The League,Xbox 360,0.16,0.15,0.00,NA,0.01
.hack//G.U. Vol.2//Reminisce (jp sales),PlayStation 2,0.16,NA,NA,0.16,NA
Rapala Pro Fishing,Xbox,0.16,0.12,0.03,NA,0.01
Pro Baseball Spirits 2015,PlayStation 3,0.16,NA,NA,0.16,NA
Ghost in the Shell: Stand Alone Complex,PlayStation 2,0.16,0.08,0.06,NA,0.02
Pillars of Eternity,PlayStation 4,0.16,0.11,0.02,NA,0.03
Ener-G: Dance Squad,DS,0.16,0.15,0.00,NA,0.01
TNA iMPACT!,Wii,0.16,0.14,0.01,NA,0.01
Battle Soccer: Field no Hasha,SNES,0.16,NA,NA,0.16,NA
Rudolph the Red-Nosed Reindeer,DS,0.16,0.15,NA,NA,0.01
Scarface: Money. Power. Respect.,PSP,0.16,0.15,0.00,NA,0.01
Yomawari: Night Alone,PlayStation Vita,0.16,0.05,0.02,0.07,0.02
FlatOut 2,PlayStation 2,0.16,0.08,0.06,NA,0.02
Custom Robo Arena,DS,0.16,0.01,0.02,0.12,0.00
FIFA Soccer 96,PlayStation,0.16,0.09,0.06,NA,0.01
Pro Yakyuu Famista Returns,3DS,0.16,NA,NA,0.16,NA
NCAA Final Four 2001,PlayStation,0.16,0.09,0.06,NA,0.01
Deadly Premonition: The Director's Cut,PlayStation 3,0.16,0.08,0.05,0.00,0.03
3rd Super Robot Wars Z: Tengoku-Hen,PlayStation 3,0.16,NA,NA,0.16,NA
J-League Jikkyou Winning Eleven 2000,PlayStation,0.16,NA,NA,0.15,0.01
Vegas Party,Wii,0.16,0.15,NA,NA,0.01
Sid Meier's Civilization IV,PC,0.16,0.02,0.12,NA,0.02
Eve: The Lost One,SAT,0.16,NA,NA,0.16,NA
Shaun White Skateboarding,Xbox 360,0.16,0.10,0.05,NA,0.01
Disgaea 4: A Promise Unforgotten,PlayStation Vita,0.16,0.03,0.03,0.08,0.02
Konami Krazy Racers,GBA,0.16,0.09,0.03,0.04,0.00
Saturday Night Slam Masters,SNES,0.16,NA,NA,0.16,0.00
The Walking Dead: Season One,Xbox One,0.16,0.08,0.06,NA,0.01
Valkyria Revolution,PlayStation 4,0.16,0.04,0.03,0.07,0.02
F-Zero: GP Legend,GBA,0.16,0.11,0.04,NA,0.00
Racing Lagoon - High Speed Driving RPG,PlayStation,0.16,NA,NA,0.15,0.01
Field Commander,PSP,0.16,0.14,0.00,NA,0.01
Mr. Driller 2,GBA,0.16,0.00,0.00,0.15,0.00
WildStar,PC,0.16,0.08,0.07,NA,0.01
NBA 2K12,PC,0.16,0.09,0.05,NA,0.02
Burger Island,DS,0.16,0.15,NA,NA,0.01
Imagine: Ice Champions,DS,0.16,0.15,NA,NA,0.01
J-League Pro Soccer Club o Tsukurou! 6: Pride of J,PSP,0.16,NA,NA,0.16,NA
Ener-G Horse Riders,DS,0.16,0.14,0.01,NA,0.01
"BCFX: The Black College Football Xperience, The Doug Williams Edition",Xbox 360,0.16,0.15,NA,NA,0.01
Bendy and the Ink Machine,Xbox One,0.16,0.14,NA,NA,0.02
Dragon Ball: Origins 2,DS,0.16,0.05,0.02,0.08,0.01
Left Brain Right Brain: Use Both Hands Train Both Sides,DS,0.16,0.15,0.00,NA,0.01
Family Party: 30 Great Games Outdoor Fun,Wii,0.16,0.14,0.01,NA,0.01
Yu-Gi-Oh! 5D's: Duel Transer,Wii,0.16,0.11,0.02,0.02,0.01
Dynasty Warriors 8: Xtreme Legends,PlayStation 3,0.16,0.02,0.02,0.11,0.01
Power Rangers Double Pack,GBA,0.16,0.11,0.04,NA,0.00
Shinobido 2: Revenge of Zen,PlayStation Vita,0.16,0.05,0.06,0.02,0.03
Mugen Souls,PlayStation 3,0.16,0.04,0.03,0.08,0.01
James Noir's Hollywood Crimes,3DS,0.16,0.07,0.07,NA,0.01
Naruto Powerful Shippuden,3DS,0.16,0.08,0.02,0.04,0.01
Pachi-Slot Kanzen Kouryaku 3: Universal Koushiki Gaido Volume 3,PlayStation,0.16,NA,NA,0.15,0.01
FIFA Soccer 97,PlayStation,0.16,0.09,0.06,NA,0.01
Just Sing!,DS,0.16,0.14,0.00,NA,0.01
Transformer: Rise of the Dark Spark,Xbox 360,0.16,0.09,0.06,NA,0.01
Darksiders II,Wii U,0.16,0.07,0.07,NA,0.01
Overcooked! 2,PlayStation 4,0.16,0.07,0.06,NA,0.03
Psychic Force,PlayStation,0.16,0.01,0.01,0.13,0.01
Castlevania: Lords of Shadow - Mirror of Fate,3DS,0.16,0.04,0.08,0.03,0.01
The Adventures of Tintin: The Game,3DS,0.16,0.05,0.09,NA,0.02
Trigger Man,PlayStation 2,0.16,0.08,0.06,NA,0.02
StarBlade α,PlayStation,0.16,NA,NA,0.15,0.01
Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui,PSP,0.16,NA,NA,0.16,NA
Time Hollow,DS,0.16,0.03,0.01,0.11,0.00
Medieval Games,Wii,0.16,0.14,0.01,NA,0.01
Tiger Woods PGA Tour 2004,GameCube,0.16,0.12,0.03,NA,0.00
LEGO The Hobbit,PlayStation Vita,0.16,0.02,0.10,NA,0.03
Gundam Breaker 2,PlayStation Vita,0.16,NA,NA,0.16,NA
Amped 3,Xbox 360,0.16,0.13,0.02,NA,0.01
Bomberman Land Touch! 2,DS,0.16,0.13,0.00,0.01,0.01
MotionSports: Adrenaline,PlayStation 3,0.16,0.08,0.05,NA,0.03
MX 2002 Featuring Ricky Carmichael,GBA,0.16,0.11,0.04,NA,0.00
Halo Triple Pack,Xbox,0.16,0.12,0.03,NA,0.01
Chaotic: Shadow Warriors,Xbox 360,0.16,0.14,NA,NA,0.01
My Baby 3 & Friends,DS,0.16,0.12,0.02,NA,0.01
Sherlock Holmes vs. Jack the Ripper,Xbox 360,0.16,0.11,0.04,NA,0.01
Street Racer,PlayStation,0.16,0.09,0.06,NA,0.01
Jurassic Park: The Game,Xbox 360,0.16,0.15,NA,NA,0.01
NBA 2K3,GameCube,0.16,0.12,0.03,NA,0.00
Tak and the Guardians of Gross,Wii,0.16,0.14,0.00,NA,0.01
Monster House,DS,0.16,0.14,0.01,NA,0.01
Arcana Heart,PlayStation 2,0.16,0.06,0.05,0.04,0.02
NHL 2005,Xbox,0.16,0.12,0.03,NA,0.01
We Dance,Wii,0.16,NA,0.14,NA,0.02
World Soccer Winning Eleven 2010: Aoki Samurai no Chousen,PSP,0.16,NA,NA,0.16,NA
Xenoblade Chronicles 2: Torna ~ The Golden Country,Switch,0.16,0.08,0.05,0.02,0.01
Battlestar Galactica,PlayStation 2,0.16,0.08,0.06,NA,0.02
The Amazing Spider-Man (2012),Wii,0.16,0.10,0.04,NA,0.01
Kingdom Hearts: Birth by Sleep - Final Mix,PSP,0.16,NA,NA,0.16,NA
Skylanders Giants,3DS,0.16,0.13,0.01,NA,0.02
Godzilla Unleashed,Wii,0.16,0.14,0.00,NA,0.01
Toriko: Gourmet Monsters!,3DS,0.16,NA,NA,0.16,NA
Imagine: Music Fest,DS,0.16,0.14,NA,NA,0.01
The Incredible Hulk: The Pantheon Saga,PlayStation,0.16,0.09,0.06,NA,0.01
Metal Gear Solid V: The Phantom Pain,Xbox 360,0.16,0.10,0.05,NA,0.01
The Idolm@ster 2,PlayStation 3,0.16,NA,NA,0.16,NA
Bleach: Dark Souls,DS,0.16,0.12,0.02,NA,0.01
Gravity Rush Remastered,PlayStation 4,0.16,0.02,0.06,0.05,0.02
AC/DC LIVE: Rock Band Track Pack,PlayStation 2,0.16,0.08,0.06,NA,0.02
Senran Kagura: Shoujotachi no Shinei,3DS,0.16,NA,NA,0.16,NA
Tales of Destiny: Director's Cut,PlayStation 2,0.16,NA,NA,0.16,NA
He-Man: Power of Grayskull,GBA,0.16,0.11,0.04,NA,0.00
Rondo of Swords (US sales),DS,0.16,0.16,NA,NA,NA
Polaris SnoCross,PlayStation,0.16,0.09,0.06,NA,0.01
Wing Commander III: Heart of the Tiger,PlayStation,0.16,0.09,0.06,NA,0.01
Mat Hoffman's Pro BMX 2,GBA,0.16,0.11,0.04,NA,0.00
Fist of the North Star: Ken's Rage,Xbox 360,0.16,0.07,0.02,0.06,0.01
Destiny 2,PC,0.16,0.09,0.05,NA,0.01
Lufia: Curse of the Sinistrals,DS,0.16,0.11,NA,0.03,0.01
Muppet RaceMania,PlayStation,0.15,0.09,0.06,NA,0.01
Namco Museum Vol.5,PlayStation,0.15,0.02,0.01,0.12,0.01
Courier Crisis,PlayStation,0.15,0.09,0.06,NA,0.01
Chessmaster: The Art of Learning,DS,0.15,0.12,0.03,NA,0.01
Sniper: Ghost Warrior,PC,0.15,NA,0.13,NA,0.03
Digimon Battle Spirit 2,GBA,0.15,0.11,0.04,NA,0.00
Winning Post 3,PlayStation,0.15,NA,NA,0.14,0.01
Driven,PlayStation 2,0.15,0.08,0.06,NA,0.02
Space Camp,DS,0.15,0.14,NA,NA,0.01
Saw II: Flesh & Blood,Xbox 360,0.15,0.10,0.04,NA,0.01
Blitz: The League II,PlayStation 3,0.15,0.11,0.03,NA,0.02
Tears to Tiara II: Heir of the Overlord,PlayStation 3,0.15,0.07,0.01,0.06,0.02
"Warhammer 40,000: Fire Warrior",PlayStation 2,0.15,0.08,0.06,NA,0.02
Bust-A-Move Bash!,Wii,0.15,0.13,0.01,NA,0.01
All-Pro Football 2K8,PlayStation 3,0.15,0.14,NA,NA,0.01
Hot Wheels: Battle Force 5,DS,0.15,0.12,0.02,NA,0.01
Dragon's Lair Trilogy,Wii,0.15,0.14,NA,NA,0.01
Dynasty Warriors 8: Empires,Xbox 360,0.15,0.09,0.05,NA,0.01
Stormrise,Xbox 360,0.15,0.11,0.03,NA,0.01
Birds of Steel,Xbox 360,0.15,0.11,0.03,NA,0.01
MTV Music Generator 2,PlayStation 2,0.15,0.08,0.06,NA,0.02
PaRappa The Rapper,PSP,0.15,0.11,0.00,0.02,0.02
Ultimate Spider-Man,DS,0.15,0.14,0.00,NA,0.01
Burnout 2: Point of Impact,GameCube,0.15,0.12,0.03,NA,0.00
Assassin's Creed Rogue Remastered,PlayStation 4,0.15,NA,0.13,0.01,0.02
Paris-Dakar Rally,PlayStation 2,0.15,0.08,0.06,NA,0.02
Active Life Explorer,Wii,0.15,0.14,NA,NA,0.01
Batman: Arkham Knight,PC,0.15,0.10,0.04,NA,0.01
Doctor Who: Evacuation Earth,DS,0.15,NA,0.13,NA,0.02
Karaoke Revolution Glee: Volume 3,Xbox 360,0.15,0.14,NA,NA,0.01
Atelier Iris: Eternal Mana,PlayStation 2,0.15,0.08,0.06,NA,0.02
Blinx 2: Masters of Time & Space,Xbox,0.15,0.12,0.03,NA,0.01
Family Party: Fitness Fun,Wii,0.15,0.14,NA,NA,0.01
Wolfenstein: The Old Blood,Xbox One,0.15,0.07,0.07,NA,0.01
Dragon Ball Z: Harukanaru Densetsu (JP sales),DS,0.15,NA,0.00,0.15,NA
WordJong,DS,0.15,0.13,0.01,NA,0.01
Just Dance 2019,Xbox One,0.15,0.13,0.01,NA,0.02
Arcade Zone,Wii,0.15,0.14,0.00,NA,0.01
Tak: The Great Juju Challenge,GameCube,0.15,0.12,0.03,NA,0.00
Scripps Spelling Bee,DS,0.15,0.14,NA,NA,0.01
Bomberman,PSP,0.15,0.14,0.00,NA,0.01
"Go, Diego, Go! Safari Rescue",DS,0.15,0.14,0.01,NA,0.01
Major League Baseball 2K11,Wii,0.15,0.14,NA,NA,0.01
Knockout Kings 2003,GameCube,0.15,0.12,0.03,NA,0.00
NCAA Football 2004,GameCube,0.15,0.12,0.03,NA,0.00
The Godfather: Blackhand Edition,Wii,0.15,0.14,0.00,NA,0.01
XGIII: Extreme G Racing,GameCube,0.15,0.12,0.03,NA,0.00
Z.H.P. Unlosing Ranger vs Darkdeath Evilman,PSP,0.15,0.08,NA,0.06,0.01
Earth Defense Force 2025,Xbox 360,0.15,0.07,0.03,0.05,0.01
Crush3D,3DS,0.15,0.10,0.04,NA,0.01
Chou Megami Shinkou Noire Gekishin Black Heart,PlayStation Vita,0.15,0.06,0.01,0.06,0.02
Digimon World 4,PlayStation 2,0.15,0.08,0.06,NA,0.02
Disney's Story Studio: Disney's Mulan,PlayStation,0.15,0.09,0.06,NA,0.01
