title,publisher,developer,platform,total_sale,na_sale,pal_sale,japan_sale,other_sale
Minecraft,Sony Computer Entertainment,Mojang,PlayStation Vita,2.47,0.22,0.73,1.25,0.27
Minecraft,Sony Computer Entertainment,Mojang,Switch,1.89,0.69,0.56,0.52,0.12
Minecraft,Sony Computer Entertainment,Mojang,Wii U,1.47,0.50,0.49,0.38,0.09
FIFA 15,EA Sports,EA Canada,PlayStation 4,6.32,0.83,4.49,0.05,0.94
FIFA 15,EA Sports,EA Canada,PlayStation 3,4.56,0.59,3.25,0.04,0.68
FIFA 15,EA Sports,EA Canada,PlayStation Vita,0.66,0.09,0.38,0.06,0.13
Super Mario Sunshine,Nintendo,Nintendo EAD,GameCube,6.31,4.01,1.26,0.87,0.17
Street Fighter II: The World Warrior,Capcom,Capcom,SNES,6.30,2.47,0.83,2.87,0.12
The Last of Us,Sony Computer Entertainment America,Naughty Dog,PlayStation 3,6.27,2.41,2.57,0.29,0.99
Driver,GT Interactive,Reflections Interactive,PlayStation,6.27,3.11,2.80,0.02,0.33
Call of Duty: WWII,Activision,Sledgehammer Games,PlayStation 4,13.40,4.67,6.21,0.40,2.12
Kinect Sports,Microsoft Game Studios,Rare Ltd.,Xbox 360,6.23,3.92,1.73,0.03,0.55
Gears of War 3,Microsoft Studios,Epic Games,Xbox 360,6.22,4.05,1.59,0.07,0.50
God of War (2018),Sony Interactive Entertainment,SIE Santa Monica Studio,PlayStation 4,6.15,2.83,2.17,0.13,1.02
Gears of War,Microsoft Game Studios,Epic Games,Xbox 360,6.09,3.54,1.88,0.07,0.60
Minecraft,Sony Computer Entertainment America,Mojang,Xbox 360,9.82,5.96,2.94,0.02,0.90
Minecraft,Sony Computer Entertainment America,Mojang,PlayStation 4,6.33,1.89,3.13,0.35,0.96
Minecraft,Sony Computer Entertainment America,Mojang,PlayStation Vita,2.47,0.22,0.73,1.25,0.27
Minecraft,Sony Computer Entertainment America,Mojang,Switch,1.89,0.69,0.56,0.52,0.12
Minecraft,Sony Computer Entertainment America,Mojang,Wii U,1.47,0.50,0.49,0.38,0.09
Metal Gear Solid 2: Sons of Liberty,Konami,Konami Computer Entertainment Japan,PlayStation 2,6.05,2.45,2.01,0.87,0.72
Sonic the Hedgehog 2,Sega,Sonic Team,GEN,6.03,4.47,1.20,0.16,0.19
Sonic the Hedgehog 2,Sega,Sonic Team,GG,0.04,NA,NA,0.04,NA
Metal Gear Solid,Konami,Konami Computer Entertainment Japan,PlayStation,6.03,3.18,1.83,0.78,0.24
Metal Gear Solid,Konami,Konami Computer Entertainment Japan,GB,0.07,NA,NA,0.07,NA
Metal Gear Solid 4: Guns of the Patriots,Konami,Kojima Productions,PlayStation 3,6.00,2.63,1.72,0.83,0.81
Final Fantasy XII,Square Enix,Square Enix,PlayStation 2,5.95,1.88,0.00,2.33,1.74
Tomodachi Life,Nintendo,Nintendo,3DS,5.88,0.97,2.64,1.98,0.28
LittleBigPlanet,Sony Computer Entertainment,Media Molecule,PlayStation 3,5.85,2.80,2.01,0.17,0.87
LittleBigPlanet,Sony Computer Entertainment,Media Molecule,PSP,2.61,0.65,1.27,0.01,0.68
Horizon: Zero Dawn,Sony Interactive Entertainment,Guerrilla Games,PlayStation 4,5.82,2.20,2.43,0.28,0.92
Resident Evil 2,Capcom,Capcom,PlayStation,5.82,1.88,1.47,2.02,0.45
Resident Evil 2,Capcom,Capcom,Nintendo 64,0.56,0.39,0.09,0.07,0.01
