title,link,release_date,meta_score,user_score,developer,publisher,genre,esrb_rating,platform,total_sale,na_sale,pal_sale,japan_sale,other_sale
BioShock,/game/xbox-360/bioshock,21-Aug-07,96,8.9,"Irrational Games, 2K Marin",2K Games,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",M,Xbox 360,2.83,1.65,0.85,0.05,0.28
GoldenEye 007,/game/nintendo-64/goldeneye-007,25-Aug-97,96,9,Rare Ltd.,Nintendo,"Action, Shooter, First-Person, Modern",T,Nintendo 64,8.09,5.80,2.01,0.13,0.15
Uncharted 2: Among Thieves,/game/playstation-3/uncharted-2-among-thieves,13-Oct-09,96,8.8,Naughty Dog,SCEA,"Action Adventure, Modern, Modern, Linear",T,PlayStation 3,6.74,3.28,2.22,0.21,1.02
Resident Evil 4,/game/gamecube/resident-evil-4,11-Jan-05,96,9.2,Capcom,Capcom,"Action Adventure, Horror",M,GameCube,3.62,2.08,0.83,0.46,0.25
The Orange Box,/game/xbox-360/the-orange-box,10-Oct-07,96,8.8,Valve Software,EA Games,"Action, Miscellaneous, Shooter, Compilation, First-Person, Sci-Fi",M,Xbox 360,1.82,1.09,0.53,0.02,0.17
The Orange Box,/game/pc/the-orange-box,10-Oct-07,96,9.2,Valve Software,EA Games,"Action, Miscellaneous, Shooter, Compilation, First-Person, Sci-Fi",M,PC,1.82,1.09,0.53,0.02,0.17
Batman: Arkham City,/game/playstation-3/batman-arkham-city,18-Oct-11,96,8.8,Rocksteady Studios,Warner Bros. Interactive Entertainment,"Action Adventure, Fantasy, Fantasy, Open-World",T,PlayStation 3,5.54,2.72,1.89,0.11,0.82
Tekken 3,/game/playstation/tekken-3,29-Apr-98,96,9.1,Namco,Namco,"Action, Fighting, 3D",T,PlayStation,7.16,3.27,2.22,1.40,0.29
Mass Effect 2,/game/xbox-360/mass-effect-2,26-Jan-10,96,8.9,BioWare,Electronic Arts,"Role-Playing, Action RPG, Action RPG",M,Xbox 360,3.1,1.99,0.81,0.03,0.27
The Legend of Zelda: Twilight Princess,/game/gamecube/the-legend-of-zelda-twilight-princess,11-Dec-06,96,8.9,Nintendo,Nintendo,"Action Adventure, Fantasy",T,GameCube,7.18,3.74,2.16,0.60,0.69
The Elder Scrolls V: Skyrim,/game/xbox-360/the-elder-scrolls-v-skyrim,11-Nov-11,96,8.6,Bethesda Game Studios,Bethesda Softworks,"Role-Playing, First-Person, First-Person, Western-Style",M,Xbox 360,8.88,5.10,2.83,0.10,0.85
Half-Life,/game/pc/half-life,19-Nov-98,96,9,Valve Software,Sierra Entertainment,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",M,PC,4.12,4.03,0.00,0.09,N/A
Resident Evil 4,/game/playstation-2/resident-evil-4,25-Oct-05,96,9,Capcom,Capcom,"Action Adventure, Horror",M,PlayStation 2,3.62,2.08,0.83,0.46,0.25
