title,console,total_sale,na_sale,pal_sale,japan_sale,other_sale,platform
Forza Motorsport 3    ,X360,5.50,2.99,1.90,0.10,0.51,Xbox 360
Monster Hunter Freedom Unite    ,PSP,5.50,0.47,0.57,4.13,0.34,PSP
Super Mario Advance    ,GBA,5.49,3.14,1.24,0.91,0.20,GBA
Mario Kart: Super Circuit    ,GBA,5.47,2.62,1.64,0.99,0.23,GBA
Super Mario World: Super Mario Advance 2    ,GBA,5.46,3.21,1.11,0.95,0.20,GBA
Pokémon Stadium    ,N64,5.45,3.18,1.24,0.94,0.09,Nintendo 64
Luigi's Mansion: Dark Moon    ,3DS,5.44,2.03,1.88,1.17,0.36,3DS
Minecraft    ,XOne,5.43,3.23,1.71,N/A,0.49,Xbox One
Call of Duty: World at War    ,PS3,5.43,2.75,1.84,N/A,0.84,PlayStation 3
Crash Bandicoot: The Wrath of Cortex    ,PS2,5.42,2.07,2.29,0.24,0.82,PlayStation 2
The Witcher 3: Wild Hunt    ,PS4,5.39,1.48,2.82,0.28,0.81,PlayStation 4
Final Fantasy XIII    ,PS3,5.35,1.75,1.23,1.87,0.51,PlayStation 3
Dr. Mario    ,GB,5.34,2.18,0.96,2.00,0.20,Game Boy Advance
Assassin's Creed III    ,X360,5.31,3.13,1.71,0.03,0.45,Xbox 360
Pokémon Pinball    ,GBC,5.31,3.02,1.12,1.01,0.16,GBC
Assassin's Creed II    ,X360,5.30,3.14,1.55,0.08,0.52,Xbox 360
Final Fantasy IX    ,PS,5.30,1.62,0.77,2.78,0.14,PlayStation
Final Fantasy X-2    ,PS2,5.29,1.92,1.08,2.11,0.17,PlayStation 2
Donkey Kong 64    ,N64,5.27,3.33,0.79,1.09,0.06,Nintendo 64
Diablo III    ,PC,5.26,2.50,2.23,N/A,0.53,PC
Tomb Raider II    ,PS,5.24,2.30,2.46,0.20,0.28,PlayStation
Madden NFL 2004    ,PS2,5.23,4.26,0.26,0.01,0.71,PlayStation 2
Call of Duty: Advanced Warfare    ,XOne,5.22,3.25,1.49,0.01,0.48,Xbox One
Dragon Quest VIII: Journey of the Cursed King    ,PS2,5.21,0.65,0.75,3.61,0.20,PlayStation 2
Super Mario Advance 4: Super Mario Bros. 3    ,GBA,5.20,2.93,1.25,0.83,0.20,GBA
Professor Layton and the Curious Village    ,DS,5.20,1.21,2.44,1.03,0.51,DS
Super Mario Land 3: Wario Land    ,GB,5.19,2.49,0.98,1.57,0.15,Game Boy Advance
Donkey Kong Country 2: Diddy's Kong Quest    ,SNES,5.15,2.10,0.74,2.20,0.11,SNES
Medal of Honor: Rising Sun    ,PS2,5.13,1.98,2.23,0.13,0.80,PlayStation 2
Battlefield 1    ,XOne,5.13,3.37,1.26,0.02,0.48,Xbox One
Kirby's Dream Land    ,GB,5.13,2.71,0.61,1.70,0.11,Game Boy Advance
Microsoft Flight Simulator    ,PC,5.12,3.22,1.69,N/A,0.20,PC
Guitar Hero II    ,PS2,5.12,3.81,0.63,N/A,0.68,PlayStation 2
FIFA 13    ,X360,5.11,1.10,3.49,0.03,0.50,Xbox 360
Resident Evil 5    ,PS3,5.10,1.96,1.42,1.08,0.64,PlayStation 3
Fable III    ,X360,5.10,3.59,1.09,0.05,0.37,Xbox 360
Mario & Sonic at the Olympic Games    ,DS,5.10,1.63,2.46,0.44,0.57,DS
The Legend of Zelda: Phantom Hourglass    ,DS,5.09,1.85,1.80,0.95,0.48,DS
Grand Theft Auto: Vice City Stories    ,PSP,5.08,1.70,2.03,0.16,1.19,PSP
FIFA Soccer 11    ,PS3,5.08,0.61,3.28,0.06,1.12,PlayStation 3
Super Mario Bros. Deluxe    ,GB,5.07,3.40,1.30,0.15,0.22,Game Boy Advance
Super Smash Bros. for Wii U    ,WiiU,5.07,2.68,1.15,0.85,0.39,Wii U
Final Fantasy XV    ,PS4,5.07,1.81,1.53,1.05,0.68,PlayStation 4
Resident Evil    ,PS,5.05,2.05,1.16,1.11,0.73,PlayStation
Fallout 4    ,XOne,5.03,2.94,1.62,0.02,0.45,Xbox One
Tony Hawk's Pro Skater    ,PS,5.02,3.42,1.38,0.02,0.20,PlayStation
Super Mario 3D World    ,WiiU,5.01,2.31,1.54,0.79,0.37,Wii U
Warzone 2100    ,PS,5.01,2.79,1.89,N/A,0.33,PlayStation
Spyro the Dragon    ,PS,5.00,3.36,1.36,0.07,0.21,PlayStation
Guitar Hero III: Legends of Rock    ,PS2,4.98,3.49,0.01,0.01,1.48,PlayStation 2
Link's Crossbow Training    ,Wii,4.98,3.05,1.17,0.29,0.46,Wii
Super Mario Party    ,NS,4.97,2.12,1.64,0.85,0.36,Switch
Uncharted: Drake's Fortune    ,PS3,4.97,2.32,1.73,0.12,0.80,PlayStation 3
Fallout 3    ,X360,4.96,3.41,0.99,0.09,0.46,Xbox 360
Pokémon Mystery Dungeon: Explorers of Time / Darkness    ,DS,4.94,1.83,1.19,1.54,0.37,DS
Halo 5: Guardians    ,XOne,4.92,2.94,1.49,0.03,0.45,Xbox One
Madden NFL 06    ,PS2,4.91,3.98,0.26,0.01,0.66,PlayStation 2
Diddy Kong Racing    ,N64,4.88,2.91,0.99,0.89,0.10,Nintendo 64
Monster Hunter Freedom 3    ,PSP,4.87,N/A,0.00,4.87,0.00,PSP
StarCraft II: Wings of Liberty    ,PC,4.86,2.60,1.70,N/A,0.56,PC
Call of Duty: Black Ops IIII    ,XOne,4.85,3.27,1.12,N/A,0.46,Xbox One
Dr. Mario    ,NES,4.85,2.62,0.60,1.52,0.10,NES
Crash Bandicoot N. Sane Trilogy    ,PS4,4.83,1.09,2.92,0.07,0.74,PlayStation 4
Assassin's Creed    ,PS3,4.83,1.91,2.01,0.09,0.82,PlayStation 3
God of War III    ,PS3,4.81,2.74,1.36,0.12,0.60,PlayStation 3
