title,console,console_developer,n_platforms,genre,release_year,publisher,developer,critic_score,total_sale,na_sale,pal_sale,japan_sale,other_sale
Blade II,Xbox,Microsoft,2,action,2002,Activision,Mucky Foot Productions,5.3,0.13,0.1,0.03,0,0
Rogue Ops,Xbox,Microsoft,3,action,2003,Kemco,Bits Studios,6.3,0.13,0.1,0.03,0,0
Superman: The Man of Steel,Xbox,Microsoft,1,action,2002,Atari,Circus Freak,4.4,0.13,0.1,0.03,0,0
Song of the Deep,Xbox One,Microsoft,3,action,2016,Insomniac Games,Insomniac Games,6.6,0.13,0.12,0,0,0.01
Otogi: Myth of Demons,Xbox,Microsoft,1,action,2003,Sega,From Software,8,0.13,0.08,0.02,0.03,0
Teenage Mutant Ninja Turtles 2: Battle Nexus,Xbox,Microsoft,4,action,2004,Konami,Konami,4.8,0.13,0.1,0.03,0,0
Onechanbara: Bikini Samurai Squad,Xbox 360,Microsoft,1,action,2009,D3 Publisher,Tamsoft Corporation,3.9,0.13,0.11,0.01,0,0.01
Advent Rising,Xbox,Microsoft,1,action,2005,Majesco,GlyphX Games,6.8,0.13,0.1,0.03,0,0
Ninja Reflex,Wii,Nintendo,2,action,2008,Electronic Arts,Sanzaru Games,4.9,0.12,0.11,0,0,0.01
Dead by Daylight,Xbox One,Microsoft,2,action,2017,505 Games,Behaviour Interactive Inc.,5.8,0.12,0.08,0.03,0,0.01
Darksiders III,Xbox One,Microsoft,3,action,2018,THQ Nordic,Gunfire Games,6.9,0.12,0.11,0,0,0.01
Godzilla Unleashed: Double Smash,DS,Nintendo,1,action,2007,Atari,Santa Cruz Games,2.8,0.12,0.11,0,0,0.01
The Surge,Xbox One,Microsoft,3,action,2017,Focus Home Interactive,DECK13 Interactive,7.4,0.12,0.07,0.04,0,0.01
7 Days to Die,Xbox One,Microsoft,2,action,2016,Telltale Games,The Fun Pimps,3.5,0.12,0.09,0.02,0,0.01
Onechanbara: Bikini Zombie Slayers,Wii,Nintendo,1,action,2009,D3 Publisher,Tamsoft Corporation,5.5,0.12,0.11,0,0,0.01
Buffy the Vampire Slayer: Chaos Bleeds,Xbox,Microsoft,3,action,2003,VU Games,Eurocom Entertainment Software,7.3,0.12,0.09,0.03,0,0
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,GameCube,Nintendo,4,action,2005,Konami,Konami,5.7,0.12,0.09,0.02,0,0
Barnyard,GameCube,Nintendo,4,action,2006,THQ,Blue Tongue,6.6,0.12,0.09,0.02,0,0
ToeJam & Earl III: Mission to Earth,Xbox,Microsoft,1,action,2002,Sega,ToeJam & Earl Productions,7.1,0.11,0.09,0.02,0,0
Fantastic Four: Rise of the Silver Surfer,Xbox 360,Microsoft,5,action,2007,2K Games,Visual Concepts,4.5,0.11,0.1,0.01,0,0.01
Stubbs the Zombie in Rebel Without a Pulse,Xbox,Microsoft,1,action,2005,Aspyr,Wideload Games,7.5,0.11,0.08,0.02,0,0
Batman: Dark Tomorrow,Xbox,Microsoft,2,action,2003,Kemco,"HotGen, Ltd.",2.5,0.11,0.08,0.02,0,0
Batman: Rise of Sin Tzu,Xbox,Microsoft,4,action,2003,Ubisoft,Ubisoft Montreal,6.7,0.11,0.08,0.02,0,0
Project: Snowblind,Xbox,Microsoft,2,action,2005,Eidos Interactive,Unknown,7.9,0.11,0.08,0.02,0,0
Agents of Mayhem,Xbox One,Microsoft,2,action,2017,Deep Silver,Volition Inc.,7.3,0.11,0.07,0.03,0,0.01
Mushroom Men: Rise of the Fungi,DS,Nintendo,1,action,2008,Gamecock,Red Fly Studio,4.5,0.11,0.1,0,0,0.01
Hellboy: The Science of Evil,Xbox 360,Microsoft,2,action,2008,Konami,Krome Studios,4.4,0.11,0.1,0,0,0.01
Naruto Shippuden: Naruto vs. Sasuke,DS,Nintendo,1,action,2010,Atlus,Takara Tomy,6.4,0.11,0.07,0,0.03,0.01
Viewtiful Joe: Double Trouble!,DS,Nintendo,1,action,2005,Capcom,Clover Studio,7.3,0.11,0.08,0,0.01,0.01
Hysteria Hospital: Emergency Ward,DS,Nintendo,2,action,2009,O-Games,Gameinvest,4.5,0.11,0.1,0,0,0.01
X-Men: The Official Game,DS,Nintendo,6,action,2006,Activision,Amaze Entertainment,5,0.11,0.1,0,0,0.01
Pariah,Xbox,Microsoft,1,action,2005,Groove Games,Unknown,7,0.1,0.08,0.02,0,0
Blades of Time,Xbox 360,Microsoft,2,action,2012,Konami Digital Entertainment,Gaijin Games Inc.,5.2,0.1,0.07,0.02,0,0.01
Colin McRae Rally 04,Xbox,Microsoft,1,action,2004,Codemasters,Unknown,8.4,0.1,0.08,0.02,0,0
Minority Report: Everybody Runs,GameCube,Nintendo,4,action,2002,Activision,Treyarch,5.3,0.1,0.08,0.02,0,0
Van Helsing,Game Boy Advance,Nintendo,3,action,2004,VU Games,Saffire Corporation,3.3,0.1,0.07,0.03,0,0
Tom Clancy's HAWX 2,Wii,Nintendo,4,action,2010,Ubisoft,Ubisoft Bucharest,4.7,0.1,0.06,0.03,0,0.01
Predator: Concrete Jungle,Xbox,Microsoft,2,action,2005,VU Games,Eurocom Entertainment Software,4.6,0.1,0.07,0.02,0,0
MySims SkyHeroes,Xbox 360,Microsoft,3,action,2010,Electronic Arts,The Sims Studio,5.6,0.1,0.09,0,0,0.01
The Secret Saturdays: Beasts of the 5th Sun,Wii,Nintendo,1,action,2009,D3 Publisher,High Voltage Software,6,0.1,0.09,0,0,0.01
Star Wars: Lethal Alliance,DS,Nintendo,2,action,2006,Ubisoft,Ubisoft Casablanca,5.7,0.1,0.08,0.01,0,0.01
Tornado Outbreak,Wii,Nintendo,3,action,2009,Konami,Loose Cannon Studios,7.1,0.1,0.09,0,0,0.01
Ninja Reflex,DS,Nintendo,2,action,2008,Electronic Arts,Sanzaru Games,5.4,0.1,0.09,0,0,0.01
Code Lyoko: Quest for Infinity,Wii,Nintendo,1,action,2007,Game Factory,Neko Entertainment,5.8,0.1,0.07,0.02,0,0.01
