title,console,genre,release_date,publisher,developer,total_sale,na_sale,pal_sale,japan_sale,other_sale
Spider-Man,PS,action,30th Aug 00,Activision,Neversoft Entertainment,3.13,1.70,1.25,0.02,0.16
Resident Evil 6,PS3,action,02nd Oct 12,Capcom,Capcom,3.12,0.88,0.97,0.88,0.39
Saints Row 2,X360,action,14th Oct 08,THQ,Volition Inc.,3.07,1.98,0.79,0.02,0.28
Metal Gear Solid V: The Phantom Pain,PS4,action,01st Sep 15,Konami Digital Entertainment,Kojima Productions,3.04,0.97,1.15,0.50,0.42
Tom Clancy's Splinter Cell,XB,action,17th Nov 02,Ubisoft,Ubisoft,3.02,1.85,1.04,NA,0.13
inFAMOUS,PS3,action,26th May 09,Sony Computer Entertainment,Sucker Punch Productions,2.99,1.76,0.68,0.12,0.42
Devil May Cry,PS2,action,16th Oct 01,Capcom,Capcom,2.99,1.36,0.86,0.64,0.13
Hitman 2: Silent Assassin,PS2,action,01st Oct 02,Eidos Interactive,IO Interactive,2.96,1.36,1.15,0.04,0.41
Assassin's Creed: Brotherhood,PS3,action,16th Nov 10,Ubisoft,Ubisoft Montreal,2.85,1.87,0.57,0.11,0.30
Skylanders: Spyro's Adventure,Wii,action,16th Oct 11,Activision,Toys for Bob,2.79,1.35,1.15,NA,0.30
Star Wars: The Force Unleashed,X360,action,16th Sep 08,LucasArts,LucasArts,2.77,1.74,0.78,NA,0.26
Saints Row: The Third,X360,action,15th Nov 11,THQ,Volition Inc.,2.77,1.26,1.14,0.07,0.30
Onimusha: Warlords,PS2,action,13th Mar 01,Capcom,Flagship,2.70,0.99,0.48,1.09,0.14
LEGO Star Wars II: The Original Trilogy,PS2,action,12th Sep 06,LucasArts,Traveller's Tales,2.69,1.85,0.64,0.01,0.19
Hannah Montana,DS,action,10th Oct 06,Buena Vista,DC Studios,2.65,1.59,0.80,NA,0.26
Tom Clancy's Splinter Cell,PS2,action,08th Apr 03,Ubisoft,Ubisoft,2.65,1.15,1.11,NA,0.40
Star Wars: Shadows of the Empire,N64,action,03rd Dec 96,Nintendo,LucasArts,2.65,2.00,0.50,0.12,0.03
God of War Collection,PS3,action,17th Nov 09,Sony Computer Entertainment,Bluepoint Games,2.60,1.70,0.45,0.06,0.40
Streets of Rage,GEN,action,31st Dec 90,Sega,Sega,2.60,1.86,0.55,0.11,0.08
LEGO Star Wars: The Complete Saga,X360,action,06th Nov 07,LucasArts,Traveller's Tales,2.59,1.53,0.83,NA,0.24
Tomb Raider (2013),PS3,action,05th Mar 13,Square Enix,Crystal Dynamics,2.51,0.60,1.45,0.08,0.38
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,action,31st Oct 03,Rockstar Games,Rockstar North,2.49,1.84,0.56,NA,0.09
Saints Row: The Third,PS3,action,15th Nov 11,THQ,Volition Inc.,2.48,0.86,1.06,0.18,0.37
Tomb Raider: The Last Revelation,PS,action,22nd Nov 99,Eidos Interactive,Core Design Ltd.,2.48,1.15,1.14,0.06,0.13
Assassin's Creed Origins,XOne,action,27th Oct 17,Ubisoft,Ubisoft Montreal,2.47,1.34,0.92,NA,0.22
Dying Light,PS4,action,27th Jan 15,Warner Bros. Interactive,Techland,2.45,1.18,0.74,0.13,0.40
New Super Luigi U,WiiU,action,25th Aug 13,Nintendo,Nintendo,2.42,1.25,0.75,0.22,0.20
Dino Crisis,PS,action,31st Aug 99,Capcom,Capcom Production Studio 4,2.41,0.81,0.76,0.70,0.14
God of War: Ascension,PS3,action,12th Mar 13,Sony Computer Entertainment,SCEA Santa Monica Studio,2.40,1.23,0.72,0.04,0.41
Dead Island,X360,action,06th Sep 11,Deep Silver,Techland,2.38,1.48,0.70,NA,0.21
The Incredibles,PS2,action,31st Oct 04,THQ,Heavy Iron Studios,2.37,0.96,1.08,0.04,0.30
Uncharted: The Lost Legacy,PS4,action,22nd Aug 17,Sony Interactive Entertainment,Naughty Dog,2.37,0.58,1.38,0.04,0.36
Lego Marvel Super Heroes,X360,action,22nd Oct 13,Warner Bros. Interactive Entertainment,Traveller's Tales,2.34,1.26,0.87,NA,0.21
Resident Evil - Code: Veronica X,PS2,action,21st Aug 01,Capcom,Capcom,2.34,1.08,0.70,0.34,0.21
Assassin's Creed IV: Black Flag,XOne,action,22nd Nov 13,Ubisoft,Ubisoft Montreal,2.32,1.51,0.59,NA,0.22
Grand Theft Auto,PS,action,30th Jun 98,Take-Two Interactive,DMA Design,2.32,0.79,1.35,0.04,0.14
LEGO Star Wars: The Complete Saga,PS3,action,06th Nov 07,LucasArts,Traveller's Tales,2.31,1.02,0.93,NA,0.36
Dead Island,PS3,action,06th Sep 11,Deep Silver,Techland,2.29,1.08,0.74,0.15,0.32
Teenage Mutant Ninja Turtles II: The Arcade Game,NES,action,01st Dec 90,Ultra Games,Konami,2.23,1.74,0.25,0.21,0.03
Star Wars: The Force Unleashed,PS3,action,16th Sep 08,LucasArts,LucasArts,2.22,1.01,0.86,NA,0.35
Devil May Cry 3: Dante's Awakening Special Edition,PS2,action,24th Jan 06,Capcom,Capcom,2.21,1.06,0.82,0.05,0.28
Frogger,2600,action,01st Jan 82,Parker Bros.,Konami,2.20,2.06,0.12,NA,0.02
Saints Row,X360,action,29th Aug 06,THQ,Volition Inc.,2.18,1.17,0.77,0.02,0.22
Final Fantasy Tactics Advance,GBA,action,08th Sep 03,Nintendo,Square Enix,2.13,0.82,0.37,0.89,0.05
Dynasty Warriors 4,PS2,action,25th Mar 03,KOEI,Omega Force,2.11,0.63,0.21,1.13,0.13
Devil May Cry 3: Dante's Awakening,PS2,action,01st Mar 05,Capcom,Capcom,2.09,0.99,0.63,0.29,0.19
Finding Nemo,PS2,action,09th May 03,THQ,Traveller's Tales,2.09,1.26,0.60,0.05,0.18
Dead Rising,X360,action,08th Aug 06,Capcom,Capcom Production Studio 1,2.09,1.16,0.65,0.08,0.20
Metal Gear Solid: Peace Walker,PSP,action,08th Jun 10,Konami,Kojima Productions,2.08,0.46,0.42,0.96,0.25
The Incredibles,GBA,action,31st Oct 04,THQ,Helixe,2.06,1.15,0.77,0.04,0.10
Hitman: Absolution,PS3,action,20th Nov 12,Square Enix,IO Interactive,2.06,0.59,1.08,0.07,0.32
Toy Story 3: The Video Game,DS,action,15th Jun 10,Disney Interactive Studios,Avalanche Software,2.06,0.89,0.95,0.02,0.21
Tom Clancy's Splinter Cell: Conviction,X360,action,13th Apr 10,Ubisoft,Ubisoft Montreal,2.06,1.20,0.62,0.04,0.19
Middle-Earth: Shadow of War,PS4,action,10th Oct 17,Warner Bros. Interactive Entertainment,Monolith Productions,2.04,0.82,0.84,0.06,0.33
Peter Jackson's King Kong: The Official Game of the Movie,PS2,action,21st Nov 05,Ubisoft,Ubisoft Montpellier,2.04,0.71,1.02,NA,0.31
Tenchu: Stealth Assassins,PS,action,31st Aug 98,Activision,Acquire,1.99,0.95,0.64,0.27,0.13
Resident Evil 6,X360,action,02nd Oct 12,Capcom,Capcom,1.97,1.12,0.61,0.07,0.16
Devil May Cry 2,PS2,action,25th Jan 03,Capcom,Capcom,1.97,0.71,0.58,0.51,0.17
E.T.: The Extra Terrestrial,2600,action,01st Jan 82,Atari,Atari,1.97,1.84,0.11,NA,0.02
Dishonored 2,PS4,action,10th Nov 16,Bethesda Softworks,Arkane Studios,1.97,0.62,1.02,0.01,0.31
Lego Marvel Super Heroes,PS3,action,22nd Oct 13,Warner Bros. Interactive Entertainment,Traveller's Tales,1.96,0.77,0.85,0.01,0.32
Grand Theft Auto: San Andreas,XB,action,07th Jun 05,Rockstar Games,Rockstar North,1.95,1.26,0.61,NA,0.09
Lego Marvel Super Heroes,PS4,action,15th Nov 13,Warner Bros. Interactive Entertainment,Traveller's Tales,1.91,0.59,1.00,0.01,0.30
Tomb Raider (2013),X360,action,05th Mar 13,Square Enix,Crystal Dynamics,1.90,0.86,0.87,0.01,0.16
inFAMOUS 2,PS3,action,07th Jun 11,Sony Computer Entertainment,Sucker Punch Productions,1.87,1.05,0.48,0.08,0.26
Dynasty Warriors 3,PS2,action,26th Nov 01,KOEI,Omega Force,1.87,0.53,0.16,1.07,0.10
Star Wars: The Force Unleashed,Wii,action,16th Sep 08,LucasArts,Krome Studios,1.86,1.11,0.56,0.00,0.19
The Evil Within,PS4,action,14th Oct 14,Bethesda Softworks,Tango Gameworks,1.86,0.56,0.90,0.11,0.28
Phineas and Ferb,DS,action,03rd Feb 09,Disney Interactive Studios,Disney Interactive Studios,1.85,1.33,0.37,NA,0.15
LEGO Star Wars III: The Clone Wars,Wii,action,22nd Mar 11,LucasArts,Traveller's Tales,1.79,1.01,0.62,NA,0.15
SpongeBob SquarePants: SuperSponge,PS,action,21st Sep 01,THQ,Climax Group,1.78,1.12,0.58,NA,0.08
The Getaway: Black Monday,PS2,action,11th Jan 05,Sony Computer Entertainment,Team Soho,1.78,0.39,1.01,0.02,0.36
